username,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,primary_category,categories,follower_segment,followers,avg_likes,avg_comments
dastini.burhaniye,23,10.316,0.068249,0.002813,0.137492,0.009927,0.002223,moda_yasam,"moda_yasam,anne_bebek,taki_aksesuar",nano,640.0,22.08,0.67
deardilay,38,22.4387,0.11276,0.00925,0.142406,0.040399,0.003523,egitim_kariyer,"egitim_kariyer,ev_yasam",nano,216.0,33.08,2.33
debasethecurrency,31,13.75,0.091988,0.000819,0.148394,0.042197,0.002335,finans_is,"finans_is,evcil_hayvan,egitim_kariyer",nano,1373.0,18.67,3.25
der_legoist,14,5.8683,0.041543,0.005212,0.129964,0.00031,0.00208,oyuncak_hobi,"oyuncak_hobi,otomotiv,taki_aksesuar",nano,4620.0,234.0,33.55
dhy_strategist,22,9.1132,0.065282,0.001698,0.104474,0.000426,0.002779,finans_is,"finans_is,teknoloji",nano,899.0,66.42,10.5
dimensionepc,15,7.5,0.04451,0.001496,0.12519,0.000288,0.002967,teknoloji,teknoloji,nano,436.0,9.58,1.17
dlra.homeblog,6,2.6661,0.017804,0.005968,0.109598,0.000465,0.001999,ev_yasam,"ev_yasam,dekorasyon_mobilya",nano,1858.0,123.33,8.33
dmlbllog,50,20.4912,0.148368,0.019864,0.141092,0.075329,0.003225,anne_bebek,"anne_bebek,yemek_mutfak",micro,30350.0,30616.92,39.92
dongellerkonagieymir,41,25.125,0.121662,2.4e-05,0.14113,0.111379,0.00377,yemek_mutfak,yemek_mutfak,nano,434.0,55.82,254.64
dragana_stosic_gagasf,17,7.5132,0.050445,0.006777,0.137857,0.004273,0.002358,oyuncak_hobi,oyuncak_hobi,nano,858.0,22.33,0.67
drfaikuzun,11,4.625,0.032641,0.005862,0.140859,0.006808,0.001405,evcil_hayvan,"evcil_hayvan,yemek_mutfak,taki_aksesuar",nano,3594.0,206.55,0.0
drlutfullahaslan,44,23.0217,0.130564,3e-06,0.15778,0.055507,0.003651,anne_bebek,anne_bebek,nano,1935.0,376.42,7.0
drturkerborucu,30,12.7584,0.089021,0.011599,0.154378,0.029181,0.00239,anne_bebek,"anne_bebek,fitness_saglik,evcil_hayvan",nano,5145.0,327.58,2.75
e_blogg__,41,25.417,0.121662,0.001817,0.142939,0.112637,0.003809,yemek_mutfak,yemek_mutfak,nano,6707.0,675.83,45.92
ebrardenizgez,44,22.9424,0.130564,0.000347,0.157203,0.05524,0.003641,anne_bebek,anne_bebek,nano,200.0,6.5,3.08
eda.aslnn,41,25.4592,0.121662,0.000258,0.142355,0.112796,0.003815,yemek_mutfak,yemek_mutfak,micro,11117.0,226.75,8.33
edirneulak,8,3.375,0.023739,0.005184,0.111458,6.6e-05,0.001546,teknoloji,"teknoloji,otomotiv,oyun_espor",micro,11514.0,248.0,0.0
eesraa_ismail,10,4.0,0.029674,0.010342,0.144787,0.005725,0.001428,yemek_mutfak,"yemek_mutfak,ev_yasam,evcil_hayvan",nano,5196.0,622.5,22.67
ela.kitchenn,41,25.5499,0.121662,0.00871,0.142967,0.113084,0.003829,yemek_mutfak,yemek_mutfak,nano,80.0,26.42,4.42
elifomerkayra,8,3.25,0.023739,0.001785,0.125148,0.004192,0.001308,yemek_mutfak,"yemek_mutfak,evcil_hayvan,dekorasyon_mobilya",mid,115509.0,1926.92,23.0
elifsenababykids,28,12.116,0.083086,0.00411,0.144627,0.011996,0.002531,anne_bebek,"anne_bebek,moda_yasam,oyuncak_hobi",nano,1019.0,14.42,0.33
elifuzunrr,15,7.875,0.04451,0.0,0.121528,0.002414,0.002277,moda_yasam,moda_yasam,nano,12.0,1.58,0.33
elli_beanyyy,50,25.2417,0.148368,0.000352,0.161414,0.100022,0.003685,evcil_hayvan,evcil_hayvan,nano,9.0,55.25,2.25
emilyethics,29,12.1175,0.086053,0.0182,0.137624,0.009386,0.002819,fitness_saglik,"fitness_saglik,moda_yasam,anne_bebek",nano,5498.0,120.25,7.92
emine.bites,41,25.5891,0.121662,0.004467,0.143536,0.113336,0.003831,yemek_mutfak,yemek_mutfak,nano,819.0,95.83,11.83
empolisportfestival,15,6.9369,0.04451,0.005859,0.134816,0.00118,0.002148,fitness_saglik,"fitness_saglik,moda_yasam,otomotiv",nano,9.0,4.0,0.5
enfju_,38,22.5774,0.11276,0.002467,0.142206,0.040489,0.003543,ev_yasam,"ev_yasam,egitim_kariyer",nano,451.0,-1.0,29.38
erdemyazilimanadolulisesi,19,7.375,0.05638,0.02764,0.136656,0.011964,0.001881,teknoloji,"teknoloji,egitim_kariyer",nano,2986.0,71.08,1.75
esrajournalss,38,22.3499,0.11276,0.001743,0.1423,0.040195,0.003511,ev_yasam,"ev_yasam,egitim_kariyer",nano,271.0,7.33,4.58
esravepasta,50,25.2002,0.148368,0.000292,0.160732,0.09988,0.00368,evcil_hayvan,evcil_hayvan,nano,920.0,64.67,4.67
estudelavis,38,22.542,0.11276,4.7e-05,0.141771,0.040413,0.003539,egitim_kariyer,"egitim_kariyer,ev_yasam",micro,44817.0,2562.82,52.73
eticaret.gercekleri,36,15.791,0.106825,0.024906,0.157774,0.007369,0.003738,otomotiv,otomotiv,nano,2.0,0.75,0.25
etlitariflerr,34,13.9582,0.10089,0.00127,0.128758,0.0542,0.002609,fitness_saglik,"fitness_saglik,yemek_mutfak",mid,407824.0,220.0,0.0
everyounglb,28,13.4014,0.083086,0.001011,0.144117,0.005111,0.002931,otomotiv,"otomotiv,guzellik_kozmetik,anne_bebek",nano,1373.0,2.17,0.25
